거래ID,거래일자,사원번호,사원명,지역,팀,상품명,금액,상태
TXN-2025328-2824,2025-11-24,EMP1002,윤서연,서울,서울1팀,AI 비서 구독,13557,구매확정
TXN-2025017-1488,2025-01-17,EMP1006,조서연,서울,서울2팀,인터넷 결합,"""52,726""",구매확정
TXN-2025302-5557,2025-10-29,EMP1001,김준혁,서울,서울1팀,인터넷 결합,44149,구매확정
TXN-2025184-6635,2025-07-03,EMP1039,장유진,광주,광주1팀,IPTV 프리미엄,30054,환불
TXN-2025317-6925,2025-11-13,EMP1037,정준혁,광주,광주1팀,인터넷 결합,34501,접수
TXN-2025195-5554,2025-07-14,EMP1030,윤태영,대전,대전1팀,AI 비서 구독,12564,구매확정
TXN-2025312-3803,2025-11-08,EMP1035,조지민,광주,광주1팀,AI 비서 구독,17473,환불
TXN-2026067-1916,2026-03-08,EMP1015,오준혁,경기,경기2팀,5G 요금제,81290,구매확정
TXN-2025336-9179,2025-12-02,EMP1026,조준혁,부산,부산2팀,AI 비서 구독,14239,접수
TXN-2025299-7543,2025-10-26,EMP1024,오미래,부산,부산2팀,인터넷 결합,37532,구매확정
TXN-2026041-7916,2026-02-10,EMP1039,장유진,광주,광주1팀,5G 요금제,85674,환불
TXN-2025350-9797,2025-12-16,EMP1018,박하은,경기,경기2팀,AI 비서 구독,14708,개통완료
TXN-2025257-3927,2025-09-14,EMP1033,서준혁,대전,대전1팀,5G 요금제,74558,개통완료
TXN-2026034-9689,2026-02-03,EMP1001,김준혁,서울,서울1팀,IoT 패키지,11276,구매확정
TXN-2025124-2290,2025-05-04,EMP1006,조서연,서울,서울2팀,AI 비서 구독,11033,개통완료
TXN-2025085-5342,2025-03-26,EMP1034,박현우,대전,대전1팀,IoT 패키지,23880,접수
TXN-2025344-7118,2025-12-10,EMP1029,서준혁,대전,대전1팀,IoT 패키지,26246,구매확정
TXN-2025037-1964,2025-02-06,EMP1015,오준혁,경기,경기2팀,5G 요금제,76654,구매확정
TXN-2025293-8744,2025-10-20,EMP1016,이상현,경기,경기2팀,클라우드 서버,599318,검토완료
TXN-2025028-2612,2025-01-28,EMP1004,신지은,서울,서울2팀,클라우드 서버,1878964,구매확정
TXN-2025143-8579,2025-05-23,EMP1016,이상현,경기,경기2팀,5G 요금제,61416,환불
TXN-2026070-4872,2026-03-11,,,경기,경기1팀,클라우드 서버,648260,반려
TXN-2025200-5345,2025-07-19,EMP1030,윤태영,대전,대전1팀,IPTV 프리미엄,30947,구매확정
TXN-2026018-6138,2026-01-18,EMP1004,신지은,서울,서울2팀,5G 요금제,87954,개통완료
TXN-2025036-2113,2025-02-05,EMP1016,이상현,경기,경기2팀,클라우드 Server,716351,구매확정
TXN-2025162-5272,2025-06-11,EMP1014,최나연,경기,경기2팀,AI 비서 구독,13810,구매확정
TXN-2025038-1152,2025-02-07,EMP1030,윤태영,대전,대전1팀,IoT 패키지,16552,구매확정
TXN-2025126-7054,2025-05-06,EMP1019,오현우,경기,경기2팀,인터넷 결합,,검토완료
TXN-2026054-5905,2026-02-23,EMP1007,조유진,서울,서울3팀,인터넷 결합,36507,구매확정
TXN-2025352-5325,2025-12-18,EMP1033,서준혁,대전,대전1팀,클라우드 서버,1974408,검토완료
